Year,Location,Precip
2018,Alabama,64.4
2018,Arizona,11.67
2018,Arkansas,64.32
2018,California,18.09
2018,Colorado,14.96
2018,Connecticut,62.16
2018,Delaware,60.02
2018,Florida,60.52
2018,Georgia,60.8
2018,Idaho,21.88
2018,Illinois,45.79
2018,Indiana,50.03
2018,Iowa,45.08
2018,Kansas,31.85
2018,Kentucky,63.74
2018,Louisiana,66.39
2018,Maine,46.45
2018,Maryland,64.62
2018,Massachusetts,61.03
2018,Michigan,36.17
2018,Minnesota,30.08
2018,Mississippi,66.81
2018,Missouri,43
2018,Montana,19.98
2018,Nebraska,29.22
2018,Nevada,9.27
2018,New Hampshire,51.8
2018,New Jersey,64.76
2018,New Mexico,12.72
2018,New York,48.58
2018,North Carolina,68.35
2018,North Dakota,17.77
2018,Ohio,50.93
2018,Oklahoma,41.01
2018,Oregon,25.41
2018,Pennsylvania,64.04
2018,Rhode Island,63.18
2018,South Carolina,57.3
2018,South Dakota,23.25
2018,Tennessee,67.14
2018,Texas,33.72
2018,Utah,11.58
2018,Vermont,47.07
2018,Virginia,63.53
2018,Washington,41.32
2018,West Virginia,65.1
2018,Wisconsin,39.74
2018,Wyoming,16.12
